File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF376TLP	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR213VUI	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										TRIM25-human	DNA						2016-10-31	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF448LKL/	170093	ENCODE Processing Pipeline	d55309406a49c38cf794cd9ba54f5fb8		https://www.encodeproject.org/files/ENCFF376TLP/@@download/ENCFF376TLP.bigBed				released	s3://encode-public/2021/02/12/2e5769d9-7d29-47cd-bf08-6f9d2a29e41f/ENCFF376TLP.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/02/12/2e5769d9-7d29-47cd-bf08-6f9d2a29e41f/ENCFF376TLP.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.7.0 GRCh38	released	borderline replicate concordance		
ENCFF225GCF	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR695EQB	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										ZNF24-human	DNA						2017-01-27	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF037WIZ/, /files/ENCFF822ODT/, /files/ENCFF356LFX/, /files/ENCFF936FZX/, /files/ENCFF970CZZ/, /files/ENCFF637ASL/, /files/ENCFF594EIJ/	515429	ENCODE Processing Pipeline	5494cec32ad40ed39f51d863e3cdab6d		https://www.encodeproject.org/files/ENCFF225GCF/@@download/ENCFF225GCF.bed.gz				released	s3://encode-public/2020/12/07/87bd6e10-2dde-4687-9626-44563e1b0273/ENCFF225GCF.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/07/87bd6e10-2dde-4687-9626-44563e1b0273/ENCFF225GCF.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption		
ENCFF877JCX	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR695EQB	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										ZNF24-human	DNA						2017-01-27	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF225GCF/	1012442	ENCODE Processing Pipeline	bb1e2beae01460122c8e2c75d21d6e0e		https://www.encodeproject.org/files/ENCFF877JCX/@@download/ENCFF877JCX.bigBed				released	s3://encode-public/2020/12/07/46be2a43-7e06-4fbe-810f-959b5870ff0b/ENCFF877JCX.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/12/07/46be2a43-7e06-4fbe-810f-959b5870ff0b/ENCFF877JCX.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption		
ENCFF230ZKA	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR807BGP	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										MTA1-human	DNA						2017-05-17	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF058ZHN/	638297	ENCODE Processing Pipeline	a58a60e700173150bf35313284f97326		https://www.encodeproject.org/files/ENCFF230ZKA/@@download/ENCFF230ZKA.bigBed				released	s3://encode-public/2020/12/02/4fa90c1e-c88f-4ee4-ba9a-64e0f24150e5/ENCFF230ZKA.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/12/02/4fa90c1e-c88f-4ee4-ba9a-64e0f24150e5/ENCFF230ZKA.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	borderline replicate concordance		
ENCFF058ZHN	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR807BGP	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										MTA1-human	DNA						2017-05-17	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF822ODT/, /files/ENCFF356LFX/, /files/ENCFF193JSD/, /files/ENCFF631UTH/, /files/ENCFF936FZX/	300715	ENCODE Processing Pipeline	8b8426715c02cbd01b946ce67917e2fd		https://www.encodeproject.org/files/ENCFF058ZHN/@@download/ENCFF058ZHN.bed.gz				released	s3://encode-public/2020/12/02/736764f8-e343-4f84-b634-f3b26b8f061a/ENCFF058ZHN.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/02/736764f8-e343-4f84-b634-f3b26b8f061a/ENCFF058ZHN.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	borderline replicate concordance		
ENCFF305WYD	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR356ECR	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										RBM22-human	DNA			SDS	formaldehyde		2017-08-17	ENCODE			200-400	1, 2	1_1, 2_1							/files/ENCFF070XJJ/, /files/ENCFF419RSJ/, /files/ENCFF756XIX/, /files/ENCFF097HAD/	627241	ENCODE Processing Pipeline	80ebfa3cbdb496632988fd756a7b8b25		https://www.encodeproject.org/files/ENCFF305WYD/@@download/ENCFF305WYD.bed.gz				released	s3://encode-public/2017/08/17/9a784fed-277d-4d6c-a14e-8e722d1a7e8e/ENCFF305WYD.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/08/17/9a784fed-277d-4d6c-a14e-8e722d1a7e8e/ENCFF305WYD.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	released	low read length, mild to moderate bottlenecking, moderate library complexity		
ENCFF292RVQ	bigBed narrowPeak	bigBed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR356ECR	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										RBM22-human	DNA			SDS	formaldehyde		2017-08-17	ENCODE			200-400	1, 2	1_1, 2_1							/files/ENCFF305WYD/	1103283	ENCODE Processing Pipeline	71a78966bd45edfb821243ae2462d824		https://www.encodeproject.org/files/ENCFF292RVQ/@@download/ENCFF292RVQ.bigBed				released	s3://encode-public/2017/08/17/5bde8a31-7522-430b-acf8-dabc1251a81f/ENCFF292RVQ.bigBed	https://datasetencode.blob.core.windows.net/dataset/2017/08/17/5bde8a31-7522-430b-acf8-dabc1251a81f/ENCFF292RVQ.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	released	low read length, mild to moderate bottlenecking, moderate library complexity		
ENCFF561IAJ	bigBed narrowPeak	bigBed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR356ECR	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										RBM22-human	DNA			SDS	formaldehyde		2017-08-17	ENCODE			200-400	1, 2	1_1, 2_1							/files/ENCFF457BJI/	1126267	ENCODE Processing Pipeline	64033b8ded3fb5a1a0263ada7bb0d20e		https://www.encodeproject.org/files/ENCFF561IAJ/@@download/ENCFF561IAJ.bigBed				released	s3://encode-public/2020/12/04/8855234f-fab9-436e-9172-a6c2c60137be/ENCFF561IAJ.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/12/04/8855234f-fab9-436e-9172-a6c2c60137be/ENCFF561IAJ.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, mild to moderate bottlenecking, moderate library complexity		
ENCFF457BJI	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR356ECR	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										RBM22-human	DNA			SDS	formaldehyde		2017-08-17	ENCODE			200-400	1, 2	1_1, 2_1							/files/ENCFF719SJV/, /files/ENCFF835AEX/, /files/ENCFF311ZFA/, /files/ENCFF469NRZ/, /files/ENCFF356LFX/	640243	ENCODE Processing Pipeline	fd882e2cb2086309d23da6a774acda12		https://www.encodeproject.org/files/ENCFF457BJI/@@download/ENCFF457BJI.bed.gz				released	s3://encode-public/2020/12/04/9a617e65-12ed-4233-9456-56827ac41a55/ENCFF457BJI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/04/9a617e65-12ed-4233-9456-56827ac41a55/ENCFF457BJI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, mild to moderate bottlenecking, moderate library complexity		
ENCFF992KBL	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR228PGT	TF ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001182	HEK293	cell line	Homo sapiens				site-specific recombination	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/23036/'], '@type': ['Target', 'Item'], 'name': 'ZNF292-human', 'label': 'ZNF292', '@id': '/targets/ZNF292-human/', 'title': 'ZNF292 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'f9a06bbf-ea37-478e-bbc5-28d4f6bd0998', 'status': 'released'}				ZNF292-human	DNA				formaldehyde		2016-10-07	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF451CVJ/, /files/ENCFF490JCT/, /files/ENCFF533HJT/, /files/ENCFF065LBX/, /files/ENCFF709TVD/, /files/ENCFF785BTW/, /files/ENCFF847EHD/, /files/ENCFF654JHZ/, /files/ENCFF928CJD/, /files/ENCFF856XMU/, /files/ENCFF528DFI/, /files/ENCFF482RWP/, /files/ENCFF736OSY/, /files/ENCFF705BZZ/, /files/ENCFF356LFX/, /files/ENCFF661QIR/, /files/ENCFF905YEA/, /files/ENCFF800IMV/, /files/ENCFF489ERC/, /files/ENCFF500XPF/, /files/ENCFF949NGG/, /files/ENCFF425NTG/, /files/ENCFF602MXY/, /files/ENCFF383QIP/, /files/ENCFF190AZK/, /files/ENCFF919EDN/, /files/ENCFF585IQN/	35746	ENCODE Processing Pipeline	6907f67c9827e831be450388776ce310		https://www.encodeproject.org/files/ENCFF992KBL/@@download/ENCFF992KBL.bed.gz				released	s3://encode-public/2020/08/04/a5d1c058-f6a1-4400-91b1-f99a05937f77/ENCFF992KBL.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/08/04/a5d1c058-f6a1-4400-91b1-f99a05937f77/ENCFF992KBL.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	missing biosample characterization, borderline replicate concordance, missing genetic modification characterization, low read depth		
ENCFF460VUS	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR228PGT	TF ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001182	HEK293	cell line	Homo sapiens				site-specific recombination	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/23036/'], '@type': ['Target', 'Item'], 'name': 'ZNF292-human', 'label': 'ZNF292', '@id': '/targets/ZNF292-human/', 'title': 'ZNF292 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'f9a06bbf-ea37-478e-bbc5-28d4f6bd0998', 'status': 'released'}				ZNF292-human	DNA				formaldehyde		2016-10-07	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF992KBL/	118222	ENCODE Processing Pipeline	1d9e469e00b64ad6eb0bbbe9f7dfb494		https://www.encodeproject.org/files/ENCFF460VUS/@@download/ENCFF460VUS.bigBed				released	s3://encode-public/2020/08/04/44d1f56a-aa3a-4cd0-a9a2-dcd9e2273055/ENCFF460VUS.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/08/04/44d1f56a-aa3a-4cd0-a9a2-dcd9e2273055/ENCFF460VUS.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	missing biosample characterization, borderline replicate concordance, missing genetic modification characterization, low read depth		
ENCFF707SJC	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR272TOJ	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-1949'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/1750/'], '@type': ['Target', 'Item'], 'name': 'DLX6-human', 'label': 'DLX6', '@id': '/targets/DLX6-human/', 'title': 'DLX6 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '14eeb087-a950-41e0-8404-5d0e2d8ff473', 'status': 'released'}				DLX6-human	DNA				formaldehyde		2020-07-08	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF064TEW/, /files/ENCFF657NDS/, /files/ENCFF356LFX/, /files/ENCFF861SVI/	355556	ENCODE Processing Pipeline	247082001cb5de64f7a493c806a4e036		https://www.encodeproject.org/files/ENCFF707SJC/@@download/ENCFF707SJC.bed.gz				released	s3://encode-public/2020/07/02/93c55f6b-ab72-42b4-8cc5-5816ab3dc212/ENCFF707SJC.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/07/02/93c55f6b-ab72-42b4-8cc5-5816ab3dc212/ENCFF707SJC.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.4.0 GRCh38	released	missing genetic modification reagents		
ENCFF371CVH	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR272TOJ	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-1949'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/1750/'], '@type': ['Target', 'Item'], 'name': 'DLX6-human', 'label': 'DLX6', '@id': '/targets/DLX6-human/', 'title': 'DLX6 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '14eeb087-a950-41e0-8404-5d0e2d8ff473', 'status': 'released'}				DLX6-human	DNA				formaldehyde		2020-07-08	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF707SJC/	715055	ENCODE Processing Pipeline	277f0f50dd3749696c05c20265c75983		https://www.encodeproject.org/files/ENCFF371CVH/@@download/ENCFF371CVH.bigBed				released	s3://encode-public/2020/07/02/0c5f3856-6a41-4aa7-a855-d8f68108e381/ENCFF371CVH.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/07/02/0c5f3856-6a41-4aa7-a855-d8f68108e381/ENCFF371CVH.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.4.0 GRCh38	released	missing genetic modification reagents		
ENCFF249LIM	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR138SFL	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										MCM2-human	DNA						2017-11-13	ENCODE			450-650	1, 3	1_1, 3_1							/files/ENCFF147IAH/	67013	ENCODE Processing Pipeline	c04d5e6e4ebd45a974f00a74ad31aee1		https://www.encodeproject.org/files/ENCFF249LIM/@@download/ENCFF249LIM.bigBed				released	s3://encode-public/2020/11/28/2f11f1b0-1654-4f51-870f-1233bb3eb601/ENCFF249LIM.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/11/28/2f11f1b0-1654-4f51-870f-1233bb3eb601/ENCFF249LIM.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, mild to moderate bottlenecking		
ENCFF147IAH	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR138SFL	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										MCM2-human	DNA						2017-11-13	ENCODE			450-650	1, 3	1_1, 3_1							/files/ENCFF105AMA/, /files/ENCFF805TYV/, /files/ENCFF822ODT/, /files/ENCFF356LFX/, /files/ENCFF936FZX/	4669	ENCODE Processing Pipeline	96e202d032364d50ef9bb122e9defe80		https://www.encodeproject.org/files/ENCFF147IAH/@@download/ENCFF147IAH.bed.gz				released	s3://encode-public/2020/11/28/0597fa18-1ad4-4075-8bb6-ecb62a847a59/ENCFF147IAH.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/28/0597fa18-1ad4-4075-8bb6-ecb62a847a59/ENCFF147IAH.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, mild to moderate bottlenecking		
ENCFF110HVI	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR664AOA	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										TRIM25-human	DNA						2018-01-26	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF936FZX/, /files/ENCFF598IAY/, /files/ENCFF356LFX/, /files/ENCFF770UAZ/, /files/ENCFF822ODT/	93952	ENCODE Processing Pipeline	cd370a429e83883c3037d45b8962ae46		https://www.encodeproject.org/files/ENCFF110HVI/@@download/ENCFF110HVI.bed.gz				released	s3://encode-public/2020/12/03/3c27509e-b5bd-4430-ba8d-6ff96e196eb9/ENCFF110HVI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/03/3c27509e-b5bd-4430-ba8d-6ff96e196eb9/ENCFF110HVI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	borderline replicate concordance, mild to moderate bottlenecking	partially characterized antibody	
ENCFF537QZW	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR664AOA	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										TRIM25-human	DNA						2018-01-26	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF110HVI/	233568	ENCODE Processing Pipeline	aac1889f3cd2c8ba32a24b9794fe23e1		https://www.encodeproject.org/files/ENCFF537QZW/@@download/ENCFF537QZW.bigBed				released	s3://encode-public/2020/12/03/ecb68545-fac7-418e-bf83-867f95e6344d/ENCFF537QZW.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/12/03/ecb68545-fac7-418e-bf83-867f95e6344d/ENCFF537QZW.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	borderline replicate concordance, mild to moderate bottlenecking	partially characterized antibody	
ENCFF838YKK	bigBed narrowPeak	bigBed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR634ZGP	TF ChIP-seq	/human-donors/ENCDO000AAB/	EFO:0002791	HeLa-S3	cell line	Homo sapiens										UBTF-human	DNA						2016-07-28	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF886FNG/	80454	ENCODE Processing Pipeline	f4363329a26d36586cca828b1dc2d44e		https://www.encodeproject.org/files/ENCFF838YKK/@@download/ENCFF838YKK.bigBed				released	s3://encode-public/2020/12/03/6b4ad1d4-7d3a-43ef-abe9-ccd925fc7d82/ENCFF838YKK.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/12/03/6b4ad1d4-7d3a-43ef-abe9-ccd925fc7d82/ENCFF838YKK.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, mild to moderate bottlenecking, moderate library complexity		
ENCFF886FNG	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR634ZGP	TF ChIP-seq	/human-donors/ENCDO000AAB/	EFO:0002791	HeLa-S3	cell line	Homo sapiens										UBTF-human	DNA						2016-07-28	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF067GJF/, /files/ENCFF958ODF/, /files/ENCFF356LFX/, /files/ENCFF037BXO/, /files/ENCFF171KDN/, /files/ENCFF855COI/	16811	ENCODE Processing Pipeline	2c05002242c10df9c2ace10684a73bfc		https://www.encodeproject.org/files/ENCFF886FNG/@@download/ENCFF886FNG.bed.gz				released	s3://encode-public/2020/12/03/ee9b051d-8a66-4060-a639-add59639e31d/ENCFF886FNG.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/03/ee9b051d-8a66-4060-a639-add59639e31d/ENCFF886FNG.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, mild to moderate bottlenecking, moderate library complexity		
ENCFF741FZG	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BNL	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										SP2-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF398XSK/, /files/ENCFF579FHH/, /files/ENCFF356LFX/, /files/ENCFF395PSG/, /files/ENCFF939RUV/, /files/ENCFF126CVJ/	62058	ENCODE Processing Pipeline	1364492b223dabbb91257b2a68d3f3b1		https://www.encodeproject.org/files/ENCFF741FZG/@@download/ENCFF741FZG.bed.gz				released	s3://encode-public/2021/01/02/0d65a1e0-4e7e-46d6-adc6-86edae8037bc/ENCFF741FZG.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/01/02/0d65a1e0-4e7e-46d6-adc6-86edae8037bc/ENCFF741FZG.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	moderate library complexity, low read length, low read depth, mild to moderate bottlenecking	poor library complexity, severe bottlenecking	extremely low read depth
ENCFF891GNQ	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BNL	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										SP2-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF741FZG/	171686	ENCODE Processing Pipeline	db5396ac8a87913ce9aed8a70a5d40b2		https://www.encodeproject.org/files/ENCFF891GNQ/@@download/ENCFF891GNQ.bigBed				released	s3://encode-public/2021/01/02/5c095a2b-8661-423e-bd23-b83b2073bdb9/ENCFF891GNQ.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/01/02/5c095a2b-8661-423e-bd23-b83b2073bdb9/ENCFF891GNQ.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	moderate library complexity, low read length, low read depth, mild to moderate bottlenecking	poor library complexity, severe bottlenecking	extremely low read depth
ENCFF879NTL	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR822CCM	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										ARID1B-human	DNA						2016-11-30	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF822ODT/, /files/ENCFF278LNU/, /files/ENCFF936FZX/, /files/ENCFF554APQ/, /files/ENCFF735JLB/, /files/ENCFF667NSC/, /files/ENCFF356LFX/	982964	ENCODE Processing Pipeline	71887b55e96bd97639f28521611e87ae		https://www.encodeproject.org/files/ENCFF879NTL/@@download/ENCFF879NTL.bed.gz				released	s3://encode-public/2020/12/07/5e65805e-491e-48ae-80b3-41c0ec668e1d/ENCFF879NTL.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/07/5e65805e-491e-48ae-80b3-41c0ec668e1d/ENCFF879NTL.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, inconsistent platforms, antibody characterized with exemption		
